instrument,obj_a,gaia_a,obj_b,gaia_b,rv_diff,rv_sigma,ra_a,ra_error_a,dec_a,dec_error_a,parallax_a,parallax_error_a,pmra_a,pmra_error_a,pmdec_a,pmdec_error_a,ra_b,ra_error_b,dec_b,dec_error_b,parallax_b,parallax_error_b,pmra_b,pmra_error_b,pmdec_b,pmdec_error_b,gaia_rv_a,gaia_rv_err_a,gaia_rv_b,gaia_rv_err_b,mass_flame_a,mass_flame_b,mass_flame_a_lower,mass_flame_a_upper,mass_flame_b_lower,mass_flame_b_upper,teff_a,teff_b,logg_a,logg_b,mh_a,mh_b,mass_total_flame,mass_flame_a_err,mass_flame_b_err,mass_total_err
VLT,DY_Binary_39_Star_A,5595858262287843840,DY_Binary_39_Star_B,5595858159201264768,-0.55733,0.04447,120.9737504,0.009406446,-31.54359725,0.012700418,10.84475506,0.015212746,-73.27213048,0.0125247715,148.5736688,0.014806148,120.9607046,0.007008816,-31.55093087,0.00952223,10.84180856,0.01133148,-72.62689416,0.009424038,146.8838849,0.012217853,26.29292488,0.1385310441,,,1.0541664361953735,0.9325538873672485,1.0139281749725342,1.0941987037658691,0.8918507099151611,0.97288978099823,5771.0048828125,5646.357421875,4.061800003051758,4.342400074005127,0.0617000013589859,0.06520000100135803,1.986720323562622,0.04013526439666748,0.040519535541534424,0.057032203260018594
VLT,DY_Binary_4_Star_B,5863709946382541952,DY_Binary_4_Star_A,5863709946382545280,-0.22017,0.0133,202.2892885,0.008767375,-66.07852698,0.010084775,12.73626233,0.013013781,-127.3836555,0.010384769,11.17544504,0.013705308,202.2753295,0.011013003,-66.07367447,0.012385482,12.72730352,0.015541581,-128.0030944,0.012680611,11.3464643,0.016272739,-24.80796623,0.1968254298,-24.71505547,0.1432316154,1.002166509628296,1.1038178205490112,0.961965799331665,1.0422165393829346,1.06381356716156,1.143822431564331,5815.77294921875,6041.49755859375,4.313700199127197,4.1774001121521,-0.29429998993873596,-0.39100000262260437,2.105984330177307,0.040125370025634766,0.0400044322013855,0.05666039106332887
VLT,DY_Binary_41_Star_A,3830034685322011136,DY_Binary_41_Star_B,3830034479163581312,-0.3836,0.04167,151.0670716,0.02278323,-1.692001841,0.023242366,6.285525835,0.026024636,-66.3791624,0.027767815,-21.40698156,0.024420014,151.0686864,0.029404981,-1.69277468,0.033704296,6.305679177,0.032714646,-66.01775497,0.037760112,-22.7930758,0.035443824,28.77192497,0.2303833663,,,1.2182024717330933,1.3745019435882568,1.1780849695205688,1.2583377361297607,1.3340156078338623,1.4151426553726196,6141.28857421875,6058.8154296875,4.0680999755859375,3.985100030899048,-0.37880000472068787,-0.3828999996185303,2.59270441532135,0.04012638330459595,0.04056352376937866,0.05705721775285143
VLT,DY_Binary_43_Star_A,5195685713943687168,DY_Binary_43_Star_B,5195685713943683072,-0.43257,0.01039,145.8201283,0.013926042,-81.32219716,0.012731211,7.306293781,0.015386326,7.721498308,0.019636117,-74.20426486,0.01645666,145.7730526,0.010124763,-81.32918611,0.010566316,7.29851723,0.011925172,7.149767937,0.01486485,-74.62038083,0.012975102,31.6164341,0.2587540448,31.62233543,0.2345784307,1.0684221982955933,1.1002016067504883,1.0284096002578735,1.1084346771240234,1.0601927042007446,1.1402134895324707,5924.53515625,5975.35693359375,4.1682000160217285,4.140500068664551,-0.39100000262260437,-0.4357999861240387,2.1686238050460815,0.04001253843307495,0.04001039266586304,0.05658475725082548
VLT,DY_Binary_49_Star_A,3208713618088140160,DY_Binary_49_Star_B,3208713618088139520,-0.83894,0.02526,79.01713701,0.0133149605,-5.587436386,0.009013531,7.836200356,0.018602237,-4.449245652,0.017925544,19.84620813,0.012069184,79.0175289,0.011826818,-5.584835107,0.008356749,7.812156653,0.016317189,-2.118277312,0.01673001,19.75953843,0.011288449,,,,,1.1600605249404907,1.088028073310852,1.12002432346344,1.2000865936279297,1.0479933023452759,1.1286125183105469,6020.38134765625,5967.89208984375,4.190999984741211,4.162899971008301,-0.4350999891757965,-0.3650999963283539,2.2480885982513428,0.04003113508224487,0.0403096079826355,0.05680982548544475
VLT,DY_Binary_50_Star_A,5255388783050605824,DY_Binary_50_Star_B,5255388783050603136,0.0,0.02965,157.2462436,0.009036892,-58.79440587,0.009010915,15.48835605,0.009927402,116.3426718,0.011364182,-87.23782367,0.010811377,157.2435381,0.01019783,-58.79415028,0.010016032,15.50602504,0.011452393,117.4678527,0.013154154,-85.83186977,0.012364493,65.90157318,0.683287859,65.68856812,0.2574963868,0.8718944191932678,0.810716450214386,0.8313178420066833,0.9119312167167664,0.7706877589225769,0.850794792175293,5252.73583984375,5146.6142578125,4.502699851989746,4.500800132751465,-0.048500001430511475,-0.16359999775886536,1.6826108694076538,0.040306687355041504,0.04005351662635803,0.05682352716679071
VLT,DY_Binary_6_Star_B,6274653310550270592,DY_Binary_6_Star_A,6274656261191532160,0.09935,0.00661,209.7787735,0.014112141,-25.54591698,0.012006277,6.006634993,0.015296545,-84.5702453,0.019807242,-6.226285572,0.015490063,209.7778389,0.019853756,-25.5454373,0.017374843,6.008301837,0.021685982,-86.41196543,0.02673554,-7.483703115,0.023582354,-12.69979382,0.3741793633,-12.69979382,0.3741793633,1.0668737888336182,,1.0261636972427368,1.1072839498519897,,,5853.06494140625,,4.003499984741211,,-0.548799991607666,,,0.040560126304626465,,
VLT,DY_Binary_7_Star_A,6193279279612173952,DY_Binary_7_Star_B,6193280031230266752,-1.56609,0.0053,201.7604518,0.02488125,-24.29073339,0.016544359,33.47951338,0.031183902,-339.2446923,0.029515294,-67.0082036,0.019758169,201.6631734,0.019682491,-24.29367845,0.012401945,33.43269293,0.0226797,-338.1132325,0.021864971,-68.6482813,0.013695149,-13.49184895,0.144462496,-12.21141434,0.1275467575,,0.7674797177314758,,,0.7265480756759644,0.8102450370788574,,4855.37255859375,,4.556399822235107,,-0.1370999962091446,,,0.04184848070144653,
VLT,DY_Binary_8_Star_A,4837828175549438080,DY_Binary_8_Star_B,4837828179846041728,-0.81623,0.0162,63.84154105,0.011226708,-44.61099131,0.010200271,8.84111692,0.012037912,-25.68061513,0.012479314,38.64056333,0.013018765,63.83951901,0.009053116,-44.60820611,0.008627201,8.848464571,0.010056785,-25.30924158,0.010128884,40.23747386,0.011306698,-13.27192116,0.2784050107,-12.64630127,0.1727955937,1.0770725011825562,1.058004379272461,1.0370471477508545,1.1171222925186157,1.0179895162582397,1.0980255603790283,5966.572265625,5898.25244140625,4.341300010681152,4.357600212097168,-0.3059000074863434,-0.3228999972343445,2.135076880455017,0.040037572383880615,0.04001802206039429,0.05660785539146209
VLT,DY_Binary_16_Star_A,4857866023347844608,ESO_Binary_16_Star_B,4857866019051550976,-4.7887,0.42642,61.2257527,0.007865312,-35.84100111,0.009636578,11.55022461,0.010664507,1.245825952,0.010714519,-110.0251812,0.013455323,61.22247372,0.00956361,-35.83987057,0.011566176,11.56119463,0.012810749,0.5671767227,0.012664678,-108.6913513,0.015613913,-3.202461481,0.1883464605,-2.747456789,0.171463728,1.0661450624465942,1.1492772102355957,1.026134729385376,1.10615873336792,1.1092190742492676,1.1948966979980469,5929.22705078125,6182.76171875,4.390399932861328,4.2718000411987305,-0.3546000123023987,-0.301800012588501,2.21542227268219,0.04001200199127197,0.04283881187438965,0.05861846216132678
VLT,DY_Binary_30_Star_A,3717329177197429376,ESO_Binary_30_Star_B,3717329172901660160,0.22941,0.0167,200.4488489,0.016334957,5.825123346,0.011703675,7.1161615,0.020251326,-6.308236768,0.0226886,-66.83679392,0.015176106,200.4477815,0.016948149,5.82550303,0.0132294,7.102284466,0.023128267,-5.188971316,0.027506473,-66.82305611,0.017163873,13.37166214,0.2750699222,13.3686657,0.2137178779,1.0490483045578003,1.1017054319381714,1.0090432167053223,1.0890568494796753,1.0616648197174072,1.1417642831802368,5942.94677734375,6047.03271484375,4.313700199127197,4.20359992980957,-0.37470000982284546,-0.2937999963760376,2.1507537364959717,0.040006816387176514,0.040049731731414795,0.05660853618665253
Mage,Star106b,3183053112639796352,Star105a,3018965776882444416,-6.77292,0.01912,74.52285262,0.01193328388,-9.76057227,0.01049870066,12.90219361,0.01762180962,17.12047219,0.01769102365,-1.076382867,0.01293609012,88.46238016,0.01273706462,-7.02640212,0.01219802443,12.07877207,0.01608826593,-6.363434884,0.01484819688,-5.696407191,0.01350772008,,,,,0.995825469493866,0.9686737060546875,0.9558184146881104,1.035851001739502,0.9284188747406006,1.0088317394256592,5819.30517578125,5732.0390625,4.369999885559082,4.326900005340576,-0.09510000050067902,-0.20000000298023224,1.9644991755485535,0.0400162935256958,0.0402064323425293,0.0567261927970583
Mage,Star114B,5485115588561239808,Star113a,5485115519841798912,0.37116,0.00474,102.7408853,0.01081894245,-56.23668217,0.01012914907,13.30724535,0.01050244458,-27.53231402,0.01319373399,46.57141282,0.01282112766,102.7471244,0.01257976051,-56.23971811,0.01142012514,13.3167883,0.01182366535,-29.52827148,0.01643083617,46.04474505,0.01408152189,0.04063315317,0.1938356459,-0.02877914719,0.1622053534,1.0190885066986084,1.035578727722168,0.9786311984062195,1.059190273284912,0.9955733418464661,1.0755871534347534,5861.9755859375,5887.8349609375,4.291999816894531,4.200200080871582,-0.3538999855518341,-0.4205000102519989,2.0546672344207764,0.040279537439346313,0.04000690579414368,0.056771415761359946
Mage,Star120b,3359808231100381312,Star119a,3359820016490648576,-0.82493,0.01254,107.0496749,0.02107848041,15.51990204,0.01947738975,20.97249921,0.02295242622,-54.21135179,0.0261396654,-212.843829,0.02270251885,107.0007688,0.02143310755,15.52768016,0.01994245686,21.01847665,0.02317922749,-51.68680652,0.0265777465,-206.1646135,0.02322837524,,,,,1.0765321254730225,1.037891149520874,1.0365084409713745,1.1165610551834106,0.9978893399238586,1.0778933763504028,6017.8828125,5920.078125,4.279399871826172,4.2378997802734375,-1.1669000387191772,-0.46970000863075256,2.1144232749938965,0.040026307106018066,0.040002018213272095,0.05658857412658694
Mage,Star12b,2356080043380354816,Star11a,2356290256259997696,-0.56808,0.00432,15.52937379,0.01866982132,-19.66991616,0.01623273082,12.25676387,0.02421694808,129.5029987,0.02832695097,-54.48311988,0.03855151683,15.11732164,0.02001583949,-19.38963397,0.01379874349,12.25061206,0.0252690725,128.451523,0.02973351628,-54.60238105,0.02801439911,5.804744244,0.1386235058,5.241909504,0.1324980557,1.0895330905914307,1.1578707695007324,1.0495269298553467,1.1295523643493652,1.1178675889968872,1.197883129119873,5916.05908203125,5650.59619140625,4.133999824523926,4.035399913787842,-0.5411999821662903,-0.45190000534057617,2.247403860092163,0.04001271724700928,0.04000777006149292,0.05658302931782994
Mage,Star22-B,3613454637229634176,Star21-A,3613454637229633664,0.79237,0.00828,206.5177885,0.01441472117,-11.75065151,0.01245423965,4.085208505,0.01625929773,2.945590676,0.02004733123,-19.49285713,0.01739664935,206.5260731,0.01285730023,-11.75345372,0.01087201759,4.09249157,0.01460718829,2.40585414,0.01800551079,-19.60826639,0.01512339897,20.74016571,0.3158690333,21.94511032,0.2985781431,1.125346064567566,1.0265967845916748,1.0825074911117554,1.1667869091033936,0.986092209815979,1.0674635171890259,5849.4189453125,5789.45751953125,3.998500108718872,4.090799808502197,-0.0008999999845400453,-0.12080000340938568,2.1519428491592407,0.04213970899581909,0.04068565368652344,0.05857540004261204
Mage,Star212-B,6118406798373150848,Star211-A,6099322403253174016,1.46138,0.01039,217.2063716,0.01872451417,-36.81989912,0.01764669269,9.102369292,0.0218159277,-77.5400352,0.02437251247,-59.77934884,0.02531900071,216.9698787,0.0173529014,-45.17132826,0.01811726578,8.712264458,0.01892137155,-74.51166136,0.02164570428,-60.81178462,0.02783048339,-24.82099533,0.2434160113,-21.45641708,0.2782872021,0.9046109318733215,0.9834468960762024,0.864064633846283,0.9452595710754395,0.9426863193511963,1.0289474725723267,5517.44873046875,5629.52587890625,4.459499835968018,4.491600036621094,0.15520000457763672,0.0560000017285347,1.888057827949524,0.04059746861457825,0.043130576610565186,0.059231757501120114
Mage,Star214b,1167718049194619264,Star213a,1167718049194619136,-0.86429,0.03293,226.8863958,0.01838555373,9.226136166,0.01986848749,30.42952416,0.02158748917,-194.8162032,0.02382052876,22.91616031,0.02340883948,226.8858251,0.02059743553,9.225199663,0.01982880197,30.4068559,0.0232753139,-190.5255958,0.02961956337,30.38682621,0.02271100506,-34.44369888,0.187169075,-35.47881699,0.1818909794,0.9468840956687927,0.9192066192626953,0.9068790078163147,0.9868886470794678,0.8791765570640564,0.9593150615692139,5681.8642578125,5597.07373046875,4.322999954223633,4.366199970245361,-0.09669999778270721,-0.0729999989271164,1.866090714931488,0.04000481963157654,0.040069252252578735,0.05662093755701823
Mage,Star-216b,6003429424356691584,Star215a,6003429213889816832,-0.96972,0.00815,227.6801307,0.01696817577,-43.71738008,0.0164518021,31.82932308,0.02364017069,11.27081314,0.02495468967,-104.5901035,0.02215927653,227.6734458,0.0134749366,-43.73031073,0.01275054272,31.83878234,0.01747970469,10.40910337,0.02010143548,-98.77868999,0.0182162039,-4.088839531,0.1331895888,-4.455105305,0.1219673902,0.8961114287376404,0.9977381825447083,0.8559824824333191,0.9362365007400513,0.9577368497848511,1.0377397537231445,5515.5771484375,5828.7626953125,4.401800155639648,4.270500183105469,-0.020400000736117363,-0.26980000734329224,1.8938496112823486,0.04012700915336609,0.04000145196914673,0.056659447784409955
Mage,Star222b,6317420224061370624,Star221a,6317420219765757440,-1.54665,0.04292,234.7733737,0.01454002503,-8.564241468,0.01291374024,7.385035388,0.01997797377,-102.4553189,0.01774256304,-15.96886011,0.01552524325,234.7740106,0.01587124914,-8.564568806,0.01569905505,7.394451761,0.0228902977,-101.7740794,0.02072470449,-16.05552012,0.01986052468,-86.13905334,0.2261746079,,,1.0347315073013306,1.0529513359069824,0.9943292140960693,1.0758116245269775,1.0128273963928223,1.0930774211883545,5781.65673828125,5730.8935546875,4.192599773406982,4.128600120544434,-0.31610000133514404,-0.6730999946594238,2.087682843208313,0.0407412052154541,0.04012501239776611,0.05718271086900855
Mage,Star226-B,5778002293379364992,Star225-A,5807733500118617984,-3.44519,0.00779,253.3976524,0.008983191103,-76.36225907,0.01087911706,9.937430973,0.01294228528,-16.82449747,0.01040304825,-109.5666126,0.0136534702,251.3011826,0.009374316782,-70.79417616,0.01116271317,8.171489057,0.01491171587,-18.81020819,0.01158748567,-87.29775174,0.01386001427,-16.3927269,0.242189303,-20.75965118,0.3432784677,0.9545192718505859,0.9538136124610901,0.9144913554191589,0.9945419430732727,0.913455069065094,0.9941660165786743,5524.55615234375,5674.77880859375,4.553999900817871,4.418700218200684,0.19939999282360077,0.13760000467300415,1.908332884311676,0.040025293827056885,0.04035547375679016,0.05683826535070557
Mage,Star232-B,6420597089545019776,Star231-A,6709875880094622720,-8.65591,0.04028,294.228433,0.06754044443,-69.81699766,0.09351423383,14.06016887,0.1205675453,55.75808609,0.09038328379,-38.52415314,0.1202849224,279.0016451,0.01136870869,-44.42882737,0.0105926292,14.91191598,0.01383104362,45.77257631,0.01223692019,-39.28636524,0.01041449793,-6.708694935,0.3277452588,-15.61269093,0.1732003689,,0.9908087253570557,,,0.9507357478141785,1.031798005104065,5310.79638671875,5648.00341796875,4.344900131225586,4.428999900817871,-0.23010000586509705,-0.26190000772476196,,,0.04053112864494324,
Mage,Star232b,4383238052280567680,Star231a,6236816675902817536,0.72817,0.02044,248.9894344,0.01841785945,-0.4113030621,0.009125884622,16.8902564,0.02281804383,-28.19646608,0.02502262406,47.74414775,0.02208195627,237.6841751,0.02051101811,-24.00257835,0.009821061045,17.08481975,0.0237884596,-43.34644039,0.02204942703,15.83619038,0.01172871515,,,,,1.0472880601882935,0.9168347716331482,1.0072871446609497,1.0872888565063477,0.8765320777893066,0.9574049711227417,5941.33203125,5606.00390625,4.315000057220459,4.340199947357178,-0.4101000130176544,-0.046300001442432404,1.9641228318214417,0.040000855922698975,0.04043644666671753,0.056878596093599326
Mage,Star234b,4343064577465522816,Star233a,4343064508746082304,-0.09313,0.01774,241.1077458,0.0180645939,-11.44948148,0.01194337383,35.88977197,0.02001752332,-61.60678666,0.02207107842,-22.22701297,0.01391613856,241.1110727,0.02242625877,-11.44996637,0.01328638569,35.8717581,0.02365236357,-56.33370891,0.02746854164,-20.35668315,0.01655428112,-31.95599365,0.1258320957,-32.28187561,0.1217768267,0.8870907425880432,,0.8463912010192871,0.927670419216156,,,5466.580078125,,4.438799858093262,,0.09880000352859497,,,0.04063960909843445,,
Mage,Star236b,4421376193636525184,Star235a,1198060172076731520,-6.9548,0.01379,232.136978,0.01349200588,3.11033598,0.01294521987,17.1296675,0.0161513593,-66.21463812,0.01548597682,-23.66016439,0.01566066965,241.3956875,0.01518254727,15.25743011,0.01284495741,18.96020309,0.01936799102,-63.7569227,0.01640187763,-10.76331805,0.01549375802,,,,,0.8826373815536499,1.006635308265686,0.8425971865653992,0.9229354858398438,0.9650728702545166,1.049437403678894,5413.439453125,5694.44873046875,4.464600086212158,4.46560001373291,-0.27250000834465027,-0.11240000277757645,1.889272689819336,0.04016914963722229,0.04218226671218872,0.05824864125072601
Mage,Star240b,4464207428579939840,Star239a,4464207428577214464,-0.42269,0.00462,243.3276918,0.01490073372,13.5250351,0.01370118279,41.12866429,0.01967614144,178.9343578,0.01762647368,-419.9412068,0.0173495058,243.3276403,0.01524781436,13.52616796,0.01427155174,41.1545347,0.0203103181,194.15354,0.01820469648,-422.438427,0.01774857193,18.16322136,0.1762166768,18.48123741,0.1377738565,0.8737656474113464,0.8325855135917664,0.8333795666694641,0.9141025543212891,0.792582631111145,0.8726038932800293,5370.84619140625,5289.4365234375,4.45550012588501,4.456099987030029,0.021299999207258224,-0.5224999785423279,1.7063511610031128,0.040361493825912476,0.04001063108444214,0.05683221607182407
